section_number,title,chapter,bailable,compoundable,punishment,explanation_en,explanation_hi,keywords,tags,examples,case_refs,news
1,Title and extent of operation of the Code,Chapter I,True,False,N/A,This section states that this Act shall be called the Indian Penal Code and shall extend to the whole of India except the State of Jammu and Kashmir.,यह धारा कहती है कि इस अधिनियम को भारतीय दंड संहिता कहा जाएगा और यह जम्मू और कश्मीर राज्य को छोड़कर पूरे भारत में लागू होगी।,"[""applicability"", ""scope"", ""IPC"", ""India""]","[""general""]","[""If an offence occurs in Delhi, IPC applies."", ""IPC applies to crimes in Mumbai.""]","[{""case_name"": ""State of Maharashtra v. XYZ"", ""summary"": ""Confirmed applicability of IPC in the entire state including urban and rural areas.""}]",[]
2,Punishment of offences committed within India,Chapter I,True,False,As provided for that offence,"Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to its provisions, committed within India.","प्रत्येक व्यक्ति इस संहिता के अंतर्गत और इसके अलावा किसी अन्य रूप में नहीं, भारत में किए गए प्रत्येक अपराध या चूक के लिए दंडनीय होगा।","[""punishment"", ""India"", ""offences"", ""liability""]","[""general""]","[""A commits theft in India, IPC applies for punishment."", ""B assaults C in India, IPC governs the punishment.""]","[{""case_name"": ""State v. Ram Singh"", ""summary"": ""Confirmed IPC applicability for a theft committed in India.""}]",[]
3,"Punishment of offences committed beyond, but which by law may be tried within, India",Chapter I,True,False,As provided for that offence,Any person liable by law to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India as if it had been committed within India.,"जो कोई व्यक्ति भारत के बाहर किए गए अपराध के लिए विधि द्वारा विचारणीय है, वह इस संहिता के अंतर्गत उसी प्रकार दंडनीय होगा जैसे कि वह अपराध भारत में किया गया हो।","[""extraterritorial"", ""punishment"", ""offences""]","[""general""]","[""If an Indian citizen commits murder on a ship registered in India, IPC applies."", ""Offences on Indian aircraft can be tried under IPC.""]","[{""case_name"": ""XYZ v. State of India"", ""summary"": ""Clarified IPC applicability for offences committed outside but triable in India.""}]",[]
4,Extension of Code to extra-territorial offences,Chapter I,True,False,As provided for that offence,This section extends the application of the IPC to certain offences committed by citizens of India anywhere or on any ship or aircraft registered in India wherever it may be.,यह धारा भारतीय नागरिकों द्वारा भारत के बाहर या किसी भारतीय जहाज या विमान पर किए गए कुछ अपराधों पर IPC के अनुप्रयोग का विस्तार करती है।,"[""extraterritorial"", ""offences"", ""ship"", ""aircraft"", ""citizen""]","[""general""]","[""An Indian commits theft on a ship registered in India while in international waters."", ""An Indian commits an offence on an Indian aircraft.""]","[{""case_name"": ""ABC v. Union of India"", ""summary"": ""Confirmed IPC extension to offences on Indian registered vessels.""}]",[]
5,Certain laws not to be affected by this Act,Chapter I,True,False,N/A,"Nothing in this Act shall affect the provisions of any special or local law, or any special jurisdiction or power conferred, or any special form of procedure prescribed, by any other law for the time being in force.","इस अधिनियम की कोई भी बात किसी विशेष या स्थानीय कानून के प्रावधानों, किसी विशेष क्षेत्राधिकार या शक्ति, या किसी अन्य प्रचलित कानून द्वारा निर्धारित किसी विशेष प्रक्रिया को प्रभावित नहीं करेगी।","[""special law"", ""local law"", ""jurisdiction""]","[""general""]","[""A special state law prescribing a different procedure will not be affected by IPC."", ""Local laws on specific crimes remain unaffected.""]","[{""case_name"": ""State v. DEF"", ""summary"": ""Held that IPC does not override special state laws in case of conflict.""}]",[]
6,Definitions in the Code to be understood subject to exceptions,Chapter II,True,False,N/A,"This section states that whenever definitions are provided under the IPC, they should be understood in conjunction with any exceptions provided within the Code.",यह धारा कहती है कि IPC के तहत दी गई परिभाषाओं को कोड में प्रदान की गई किसी भी अपवाद के साथ समझा जाना चाहिए।,"[""definitions"", ""exceptions"", ""interpretation""]","[""general""]","[""Understanding 'culpable homicide' under IPC with exceptions provided."", ""Reading murder definitions with exceptions.""]","[{""case_name"": ""GHI v. State"", ""summary"": ""Clarified that exceptions must be read with IPC definitions while interpreting sections.""}]",[]
7,Sense of expression once explained,Chapter II,True,False,N/A,Every expression which is explained in any part of this Code is used in every part of this Code in conformity with the explanation.,इस संहिता के किसी भाग में समझाई गई प्रत्येक अभिव्यक्ति का उपयोग संहिता के हर भाग में उसी अर्थ में किया जाएगा।,"[""interpretation"", ""definitions"", ""expressions""]","[""general""]","[""Terms like 'death' or 'injury' carry the same meaning throughout IPC."", ""Words explained in definitions apply across the code.""]",[],[]
8,"""Gender""",Chapter II,True,False,N/A,"The pronoun 'he' and its derivatives are used for any person, whether male or female.","'वह' और इसके व्युत्पन्न शब्द किसी भी व्यक्ति के लिए, चाहे वह पुरुष हो या महिला, उपयोग किए जाते हैं।","[""gender"", ""interpretation"", ""definitions""]","[""general""]","[""The term 'he' in IPC sections applies to women as well."", ""In interpretation, gender-neutral reading is applied.""]",[],[]
9,"""Number""",Chapter II,True,False,N/A,"Unless the contrary appears, words in singular include the plural, and words in plural include the singular.","जब तक विपरीत प्रतीत न हो, एकवचन में प्रयुक्त शब्द बहुवचन को भी शामिल करते हैं और बहुवचन में प्रयुक्त शब्द एकवचन को भी।","[""singular"", ""plural"", ""interpretation""]","[""general""]","[""Word 'person' can mean 'persons' and vice versa."", ""Reading singular and plural interchangeably in interpretation.""]",[],[]
10,"""Man"" ""Woman""",Chapter II,True,False,N/A,'Man' denotes a male human being of any age; 'Woman' denotes a female human being of any age.,'पुरुष' किसी भी आयु के पुरुष मानव को और 'स्त्री' किसी भी आयु की महिला मानव को दर्शाता है।,"[""man"", ""woman"", ""gender"", ""definition""]","[""general""]","[""A boy of 15 is considered a 'man' under IPC."", ""A girl of 10 is considered a 'woman' under IPC.""]",[],[]
